Satellite,Latitude,Longitude,Altitude (km),Coverage Area (km^2)
STARLINK-2039,52.94401737405958,5.703516801075887,551.702792046395,164062.32645221907
STARLINK-2040,-3.100390848076094,-98.762784516359,547.7284390014083,161707.09813185854
STARLINK-2041,-27.706061699147796,-99.56578810485948,555.1958953059217,166146.42282836876
STARLINK-2042,5.040030099462829,-72.65764484205562,546.5235877078252,160996.45868681476
STARLINK-2043,-33.84687885162028,13.66896285792275,557.3464384651861,167436.04713581913
STARLINK-2044,44.77700106333228,-73.73174942346624,550.0507822464908,163081.26640593747
STARLINK-2051,-13.294667857440569,93.73943193394467,549.0301857564302,162476.646752518
STARLINK-2052,-42.25068497311941,-139.24184388277396,560.123846655597,169108.96337697847
STARLINK-2053,-33.722606710637386,153.924413560496,557.1899665360547,167342.04684488464
STARLINK-2054,-45.600295821731095,-146.24288913699237,562.0203221135956,170256.04516851364
STARLINK-2056,33.9669026979937,-71.13465204502202,547.8684928968897,161789.80555733293
STARLINK-2057,1.3345793979289278,-100.65232185065598,508.2588057328983,139241.38207367566
STARLINK-2058,41.06318680862513,62.893922148220206,548.9832838838236,162448.8882296183
STARLINK-2059,-51.08000626371558,151.4251673189502,564.2866620836313,171631.92447056557
STARLINK-2062,2.7188998562722366,81.52360040260362,545.8005534075147,160570.75350709716
STARLINK-2064,-52.690414003723696,-175.41291341147956,564.957974163417,172040.53636121526
STARLINK-2065,23.95461622271501,-87.03092622905126,546.7390571647317,161123.43091128426
STARLINK-2066,19.38546415272723,68.30180103018066,545.7662815361361,160550.5890444446
STARLINK-2067,52.12660660602072,-22.34829933748708,551.5806692315429,163989.70207587877
STARLINK-2078,45.16547117748342,34.76560432347523,549.350770954627,162666.44620849474
STARLINK-2083,31.140059306310082,-53.3069430037792,547.1916432551453,161390.29461865022
STARLINK-2090,-8.707430612090855,110.1303121851796,548.1696092458718,161967.69840613124
STARLINK-2095,21.55804926027278,-59.24565938321093,547.2005857775764,161395.56972889972
STARLINK-2068,17.31944473664511,-144.68380474434406,545.7358253063676,160532.6706447219
STARLINK-2107,47.14397095884322,109.84598412856462,550.3199817314883,163240.93215754523
STARLINK-2116,-52.708886331576245,-95.61444786764963,565.0330626487465,172086.27116756805
STARLINK-2125,52.83541820850917,152.93752943623682,550.03816610712,163073.78552432824
STARLINK-2126,-3.720568445331167,8.678496836550282,413.05246046275204,91962.11037253012
STARLINK-2129,50.86755489504696,40.3903308010996,551.1492826535434,163733.29246395337
STARLINK-2131,-40.07186106707646,14.581148600455615,561.052826997586,169670.37200091258
STARLINK-2140,-3.7962523333784106,-108.57954718673676,548.1122353949037,161933.7956719219
STARLINK-2141,22.475644020485714,-134.4582253625368,546.8533151050698,161190.7813401376
STARLINK-2142,-41.40396238782367,-62.460757695860686,560.2792021686656,169202.78424648393
STARLINK-2143,-28.56528015969588,-82.40311411322261,555.8744746552709,166552.81067073985
STARLINK-2144,47.09728670128588,-170.0267893267348,550.6061866833053,163410.76975605276
STARLINK-2146,21.854768713459812,6.182068808260424,546.3575446583208,160898.64668860118
STARLINK-2147,-46.290310039389745,2.071804333959292,561.3183802209354,169831.02417099383
STARLINK-2150,-39.760987292055354,40.08325020789538,561.4103995178797,169886.7109717626
STARLINK-2152,39.962512020005114,102.37452296892862,549.388409883498,162688.7372504585
STARLINK-2156,-53.085859068940046,-31.105292537056666,564.8711639238885,171987.66965812532
STARLINK-2157,35.94467046643486,-159.2822318894376,547.6139221834437,161639.48708540178
STARLINK-2159,52.958020981053835,161.2346973518006,551.712083167383,164067.8523831443
STARLINK-2160,36.86721943591637,-150.55071410075436,548.7314895065523,162299.90614769745
STARLINK-2161,23.376922155837352,-145.30026605492927,546.2641264641511,160843.62932442504
STARLINK-2162,-8.261998903300753,-120.20249613152606,548.2298976000831,162003.3271705791
STARLINK-2163,49.67423863062476,171.79083568690956,551.2165529216261,163773.26368410166
STARLINK-2164,-35.50357380390723,-94.18466979599194,559.058673652926,168466.3946707554
STARLINK-2169,-43.90308489759743,-75.39238091515864,562.001359410224,170244.55640097524
STARLINK-2170,13.085500503284239,73.57079257070635,545.8524566167472,160601.29409058904
STARLINK-2171,3.2183145730037324,-118.8514787170174,546.2066409902388,160809.77871881338
STARLINK-2174,-9.264815269043162,-109.42447124846768,549.5745204553624,162798.98064794397
STARLINK-2175,-53.17208321828303,-23.593340744541017,566.2383301005137,172821.20583789406
STARLINK-2178,51.97772114896961,-179.48926243988657,551.2327106941196,163782.86517340824
STARLINK-2179,-46.02061280940174,12.748070411290119,562.393162250595,170482.0133060379
STARLINK-2180,24.791074155699942,-121.63271727915321,547.5983013692958,161630.2656092041
STARLINK-2181,45.085545246618885,117.17685184397487,551.1518081943444,163734.79302313412
STARLINK-2182,-35.550990279002114,-69.11594053648905,559.387411139091,168664.57602208992
STARLINK-2184,35.25206017501138,-133.35584056640587,548.7889829680905,162333.91794555707
STARLINK-2185,-5.983128523663958,59.07018017950953,549.0610943411913,162494.9410638217
STARLINK-2189,39.851431577848736,-139.66429934533673,549.9967386379977,163049.22184777487
STARLINK-2192,46.31774266951212,171.95457810721354,548.0184995863666,161878.4139586038
STARLINK-2193,31.988173885230403,86.41218807291395,548.0447223570594,161893.90614396665
STARLINK-2194,-13.062534924512686,48.56498309406653,549.426589635899,162711.3501466394
STARLINK-2195,28.12089629770832,97.12807638131933,548.14870961445,161955.34821154922
STARLINK-2196,44.14596091682343,120.11266282963756,549.8704974849076,162974.38082398227
