Satellite, Latitude, Longitude, Altitude
STARLINK-1338, -44.145079, -84.274682, 562.90
STARLINK-1341, -43.891432, -171.701158, 562.78
STARLINK-1350, 31.125864, 115.428031, 548.56
STARLINK-1352, 44.015161, 95.999812, 550.74
STARLINK-1362, 40.936068, 101.546359, 550.15
STARLINK-1368, 52.093487, 68.421380, 552.39
STARLINK-1369, 52.004070, 35.511436, 552.46
STARLINK-1371, -52.027874, -144.315265, 566.21
STARLINK-1372, 43.777859, 8.059739, 550.84
STARLINK-1373, -31.314535, -64.789994, 557.42
STARLINK-1374, -31.011829, 168.998238, 557.34
STARLINK-1375, 16.006096, 129.886733, 546.98
STARLINK-1378, -40.980418, -78.758180, 561.57
STARLINK-1390, 52.930073, 43.929194, 552.79
STARLINK-1294, -48.961461, -116.960617, 564.92
STARLINK-1323, -37.810136, 157.759068, 560.46
STARLINK-1325, 26.036249, 100.386810, 541.11
STARLINK-1327, 48.890449, 63.277786, 551.75
STARLINK-1334, -48.728802, -179.256342, 564.86
STARLINK-1336, -23.643625, 141.393479, 554.41
STARLINK-1342, 23.448180, -38.793788, 547.41
STARLINK-1346, 34.203140, -36.741351, 548.88
STARLINK-1354, 23.740315, 103.070384, 547.41
STARLINK-1355, 48.750085, 0.804490, 551.79
STARLINK-1356, 53.203506, 32.039456, 552.84
STARLINK-1357, 38.016771, 86.492356, 549.58
STARLINK-1358, 37.672103, -22.447533, 549.55
STARLINK-1361, -8.309042, -63.991816, 549.76
STARLINK-1363, -53.201880, -148.021096, 566.56
STARLINK-1366, -23.867265, -77.047169, 554.40
STARLINK-1376, 7.749958, -51.881236, 547.18
STARLINK-1320, 25.282950, -52.026692, 547.64
STARLINK-1321, 52.896635, 13.733030, 552.60
STARLINK-1328, 12.050813, 103.086738, 547.00
STARLINK-1331, -19.824635, 127.917405, 553.00
STARLINK-1332, 12.202059, 63.132584, 546.86
STARLINK-1333, 8.121068, 116.150718, 547.31
STARLINK-1335, 27.508386, 89.351088, 547.89
STARLINK-1337, 19.608526, -52.268281, 547.14
STARLINK-1347, 46.416156, -15.915384, 551.35
STARLINK-1349, -34.460300, 143.160956, 558.69
STARLINK-1360, 18.242200, -53.510332, 544.36
STARLINK-1364, 3.740303, -64.919659, 547.50
STARLINK-1365, -52.129214, -111.850523, 566.25
STARLINK-1443, -0.243896, -77.905221, 547.98
STARLINK-1444, 53.180035, -8.134402, 467.59
STARLINK-1445, -28.028053, 125.672951, 544.81
STARLINK-1446, -22.295017, 119.349686, 545.81
STARLINK-1448, -16.147782, -90.229079, 551.68
STARLINK-1449, 43.853727, 32.888269, 472.72
STARLINK-1451, -31.372493, -104.540065, 557.23
STARLINK-1452, -30.977151, 128.959554, 557.26
STARLINK-1453, -52.896752, 153.739844, 565.88
STARLINK-1454, -15.878866, 114.561005, 551.76
STARLINK-1455, -28.762662, 53.351357, 228.35
STARLINK-1456, 44.050479, 55.924654, 550.72
STARLINK-1457, 52.007109, -4.454067, 552.40
STARLINK-1458, 31.167680, 75.378036, 548.36
STARLINK-1460, -44.129939, -124.242072, 562.84
STARLINK-1392, -43.915748, 148.346034, 562.62
STARLINK-1393, -52.931923, -169.685117, 566.25
STARLINK-1394, -50.623589, 157.978422, 565.29
STARLINK-1395, -27.307599, 114.995744, 555.68
STARLINK-1397, -11.961305, 101.395199, 550.53
STARLINK-1399, -46.711544, -140.291035, 563.83
STARLINK-1401, 14.062409, -140.675357, 417.26
STARLINK-1402, 53.151701, -6.849560, 552.70
STARLINK-1404, 46.670956, 39.822365, 551.33
STARLINK-1408, 53.106457, -89.000192, 421.37
STARLINK-1413, 11.739425, -78.781698, 546.91
STARLINK-1414, -40.868543, 132.830509, 561.43
STARLINK-1417, 27.249254, -65.065393, 547.89
STARLINK-1420, 23.529458, -88.725968, 547.48
STARLINK-1422, -20.098334, -103.608338, 553.07
STARLINK-1351, 50.727977, 6.108467, 552.28
STARLINK-1398, -34.456550, 103.158635, 558.63
STARLINK-1400, -46.485281, 124.258752, 563.71
STARLINK-1403, 52.896629, -26.292631, 552.50
STARLINK-1405, -3.939604, 75.230010, 548.50
STARLINK-1407, -19.732004, 87.841119, 552.84
STARLINK-1411, -27.600754, -130.741884, 555.77
STARLINK-1412, 7.929844, -101.788330, 547.12
STARLINK-1418, 41.156523, 31.449912, 550.07
STARLINK-1423, -41.256998, -148.726774, 561.45
STARLINK-1433, 34.412525, -76.900039, 548.64
STARLINK-1434, 46.453345, -55.824325, 551.20
STARLINK-1465, -34.459919, -56.842806, 558.89
STARLINK-1467, -50.847451, -77.827367, 379.09
STARLINK-1468, 5.463201, -172.272201, 401.19
STARLINK-1471, 27.466642, -110.606366, 548.07
STARLINK-1474, -19.839182, -72.069669, 553.29
STARLINK-1475, 44.401478, 91.127615, 508.22
STARLINK-1479, 12.048671, -96.912659, 547.18
STARLINK-1480, -27.643275, 69.212612, 555.89
STARLINK-1481, 3.764144, 95.095322, 547.33
STARLINK-1483, -24.637508, 19.867835, 398.46
STARLINK-1500, 46.484477, 144.252894, 551.31
STARLINK-1503, 41.100244, -128.458150, 550.35
STARLINK-1504, 10.424116, 95.358335, 523.59
STARLINK-1506, 19.619762, 107.738652, 547.13
STARLINK-1507, -17.971699, -89.931175, 494.24
STARLINK-1391, -46.701126, 19.738493, 564.32
STARLINK-1464, -34.757715, 41.007070, 558.63
STARLINK-1476, -50.631552, -42.001575, 565.77
STARLINK-1477, -40.991942, -67.185127, 561.82
STARLINK-1478, 34.621973, -138.816957, 549.12
